weekday,hour,fraction
Monday,0,0.19887870337640576
Monday,1,0.16410384509642198
Monday,2,0.14858156919733448
Monday,3,0.14155327756176111
Monday,4,0.13393217077098307
Monday,5,0.1357518165036723
Monday,6,0.15864750009818937
Monday,7,0.24989470170064018
Monday,8,0.36898734011494705
Monday,9,0.4887307908827881
Monday,10,0.5412467172014715
Monday,11,0.5489874972179674
Monday,12,0.5689960911121501
Monday,13,0.5148799802607656
Monday,14,0.30966713417484804
Monday,15,0.20289229130954237
Monday,16,0.2597464287569477
Monday,17,0.2866684977403771
Monday,18,0.29985082593112045
Monday,19,0.26254125759700797
Monday,20,0.2037136382525583
Monday,21,0.15189544698976676
Monday,22,0.14558064516129032
Monday,23,0.13995567762713626
Tuesday,0,0.11679175994658496
Tuesday,1,0.09969181119822602
Tuesday,2,0.09014767683908723
Tuesday,3,0.08603975118175679
Tuesday,4,0.07871765103111526
Tuesday,5,0.08029469908225653
Tuesday,6,0.1129096003037325
Tuesday,7,0.20736970806711338
Tuesday,8,0.336712300659706
Tuesday,9,0.47166529011479924
Tuesday,10,0.5363304893252299
Tuesday,11,0.5426433821619656
Tuesday,12,0.5503035946184615
Tuesday,13,0.5114670536595501
Tuesday,14,0.2908205937353904
Tuesday,15,0.18950943272717752
Tuesday,16,0.24323107235903277
Tuesday,17,0.27713861723158295
Tuesday,18,0.2846706858856028
Tuesday,19,0.24921165704410667
Tuesday,20,0.19922795648246336
Tuesday,21,0.14308071328634409
Tuesday,22,0.13345308511056125
Tuesday,23,0.135202608167683
Wednesday,0,0.10564732968685538
Wednesday,1,0.08501276557061971
Wednesday,2,0.07330052984260559
Wednesday,3,0.06685047529998442
Wednesday,4,0.06067536751337593
Wednesday,5,0.06563082099420028
Wednesday,6,0.09830488026596021
Wednesday,7,0.19135224476650564
Wednesday,8,0.32432252495974234
Wednesday,9,0.448231458937198
Wednesday,10,0.5160550338164251
Wednesday,11,0.5311869232932035
Wednesday,12,0.5395945096234951
Wednesday,13,0.4981009380671216
Wednesday,14,0.2922034736599954
Wednesday,15,0.17988179066022544
Wednesday,16,0.24486612560386475
Wednesday,17,0.2866064412238325
Wednesday,18,0.3190024933769674
Wednesday,19,0.2897845436600696
Wednesday,20,0.24397531297075475
Wednesday,21,0.17735354007584023
Wednesday,22,0.15898290499194848
Wednesday,23,0.147319845410628
Thursday,0,0.11463077616747182
Thursday,1,0.08332359420289855
Thursday,2,0.07215015780998389
Thursday,3,0.06512153301127215
Thursday,4,0.060744734299516906
Thursday,5,0.06720997101449276
Thursday,6,0.10027055716586152
Thursday,7,0.19503780998389694
Thursday,8,0.32563947327411563
Thursday,9,0.46680954236143574
Thursday,10,0.5212048205288037
Thursday,11,0.5400168302945302
Thursday,12,0.5495017455716587
Thursday,13,0.5083485603864734
Thursday,14,0.3058356586151369
Thursday,15,0.20543139452495976
Thursday,16,0.25663717874396136
Thursday,17,0.2857327149758454
Thursday,18,0.30287751368760063
Thursday,19,0.2764538228663446
Thursday,20,0.23579702415458936
Thursday,21,0.18052569404186794
Thursday,22,0.16453987761674718
Thursday,23,0.15674103703703704
Friday,0,0.12775366152902384
Friday,1,0.09254800245379956
Friday,2,0.07365175216624492
Friday,3,0.06519889834624133
Friday,4,0.05783080285254198
Friday,5,0.06051181964573269
Friday,6,0.08793258615136876
Friday,7,0.17382777455716586
Friday,8,0.3254292560386473
Friday,9,0.45699292753623183
Friday,10,0.5166091685197965
Friday,11,0.5556889681261662
Friday,12,0.5835343787541856
Friday,13,0.542612478593155
Friday,14,0.35067866728011654
Friday,15,0.2179031004779797
Friday,16,0.22552648058686708
Friday,17,0.2533666896710375
Friday,18,0.29394893397745575
Friday,19,0.3205118728113897
Friday,20,0.3201020499450451
Friday,21,0.2763214349615316
Friday,22,0.28440818699997444
Friday,23,0.28807202924111136
Saturday,0,0.25466902415458936
Saturday,1,0.1943761981443141
Saturday,2,0.1489060998389694
Saturday,3,0.12238223510466989
Saturday,4,0.09806941062801931
Saturday,5,0.09264912349606588
Saturday,6,0.0999096038647343
Saturday,7,0.11978912721417069
Saturday,8,0.14062195169082126
Saturday,9,0.19999310789049918
Saturday,10,0.27822818679549116
Saturday,11,0.34942566183574875
Saturday,12,0.41605677294685994
Saturday,13,0.43460686634460544
Saturday,14,0.36706238969404187
Saturday,15,0.31816108212560384
Saturday,16,0.2958063510466989
Saturday,17,0.30252631239935585
Saturday,18,0.35127831239935586
Saturday,19,0.39591447342995173
Saturday,20,0.41915583896940417
Saturday,21,0.3806771466417329
Saturday,22,0.38243293854864685
Saturday,23,0.3843641352657005
Sunday,0,0.3562335458937198
Sunday,1,0.2924690756843801
Sunday,2,0.23397797939332052
Sunday,3,0.19296391626409018
Sunday,4,0.15393674718196457
Sunday,5,0.1386660952677783
Sunday,6,0.13078160874759753
Sunday,7,0.13728175159731962
Sunday,8,0.1476727442730248
Sunday,9,0.17264513531764583
Sunday,10,0.19584999480546464
Sunday,11,0.23519337956469796
Sunday,12,0.2893401901199938
Sunday,13,0.3200972624798712
Sunday,14,0.2945318554880266
Sunday,15,0.2675886837047426
Sunday,16,0.24865287517531556
Sunday,17,0.2475011687704535
Sunday,18,0.2788567217287414
Sunday,19,0.3233709028102436
Sunday,20,0.34851640174536386
Sunday,21,0.3097071206943953
Sunday,22,0.27674098948718956
Sunday,23,0.23869562599007632
