day,count,mean,lower,upper,minimum,maximum,median,first_quartile,third_quartile
1,1752,0.3471818442049644,0.029238605348925695,0.6651250830610032,0.0,1.0,0.26666666666666666,0.06666666666666667,0.5525
2,1752,0.36150464979162555,0.046398480402229214,0.6766108191810218,0.0,1.0,0.27083333333333337,0.06666666666666667,0.6
3,1752,0.3786110024828831,0.058131058864615726,0.6990909461011505,0.0,1.0,0.2916666666666667,0.075,0.65
4,1752,0.3825812569563002,0.07316857630870066,0.6919939376038997,0.0,1.0,0.3,0.125,0.6
5,1752,0.4000209212206919,0.09058658039383849,0.7094552620475453,0.0,1.0,0.3333333333333333,0.13333333333333333,0.625
6,1752,0.37462845393292704,0.058068496340563325,0.6911884115252908,0.0,1.0,0.3,0.08,0.6
7,1752,0.37744978067768886,0.04237724943272131,0.7125223119226565,0.0,1.0,0.2857142857142857,0.06666666666666667,0.6470588235294118
8,1752,0.39603783762325645,0.06319210312192952,0.7288835721245834,0.0,1.0,0.3333333333333333,0.1,0.6666666666666666
9,1752,0.40098167141868213,0.0799233168647252,0.722040025972639,0.0,1.0,0.3333333333333333,0.125,0.65
10,1752,0.3905767982807611,0.07858933124253781,0.7025642653189843,0.0,1.0,0.3333333333333333,0.1,0.65
11,1752,0.4186414698024144,0.10163498790824538,0.7356479516965835,0.0,1.0,0.3888888888888889,0.125,0.7
12,1752,0.42358687201696976,0.1256234502989826,0.7215502937349569,0.0,1.0,0.4,0.13333333333333333,0.6666666666666666
13,1752,0.3934977524676527,0.07756150834362635,0.7094339965916789,0.0,1.0,0.3333333333333333,0.11941176470588236,0.6446428571428572
14,1752,0.36969904705523127,0.05146156940952651,0.687936524700936,0.0,1.0,0.26666666666666666,0.1,0.6
15,1752,0.3736972742760463,0.05132208701782254,0.6960724615342702,0.0,1.0,0.3333333333333333,0.06666666666666667,0.6086956521739131
16,1752,0.39723979855671954,0.06438738155883134,0.7300922155546077,0.0,1.0,0.3125,0.1,0.6666666666666666
17,1752,0.39496624602411823,0.06424123945894711,0.7256912525892893,0.0,1.0,0.3333333333333333,0.1,0.6666666666666666
18,1752,0.38552878474929697,0.06896230305590145,0.7020952664426925,0.0,1.0,0.3157894736842105,0.1,0.6407142857142858
19,1752,0.4070260902033765,0.08845377684294481,0.7255984035638081,0.0,1.0,0.35,0.13333333333333333,0.6666666666666666
20,1752,0.3753280041246222,0.05274826295617663,0.6979077452930678,0.0,1.0,0.3,0.08,0.6
21,1752,0.3808589324805732,0.061316325360140755,0.7004015396010056,0.0,1.0,0.3,0.08333333333333333,0.65
22,1752,0.38860939278344137,0.06156430929264162,0.7156544762742412,0.0,1.0,0.3,0.1,0.6666666666666666
23,1752,0.37908996760499897,0.050190189743318736,0.7079897454666793,0.0,1.0,0.3,0.08,0.65
24,1752,0.39055546659439466,0.07351608066271137,0.707594852526078,0.0,1.0,0.3333333333333333,0.1,0.6111111111111112
25,1752,0.3775934089577918,0.07766413705746117,0.6775226808581225,0.0,1.0,0.3,0.13125,0.6
26,1752,0.3707323328601985,0.09404402451227772,0.6474206412081194,0.0,1.0,0.3333333333333333,0.13333333333333333,0.5566666666666666
27,1752,0.3706091969048596,0.08199388595001739,0.6592245078597019,0.0,1.0,0.3333333333333333,0.11764705882352941,0.6
28,1752,0.37394655052736697,0.06580913141722544,0.6820839696375085,0.0,1.0,0.3,0.1,0.6
29,1752,0.36635017881209603,0.06421491815645858,0.6684854394677335,0.0,1.0,0.3,0.1,0.6
30,1752,0.3671814020729947,0.05016237578393129,0.6842004283620582,0.0,1.0,0.26666666666666666,0.06666666666666667,0.6
31,1752,0.40333776853847586,0.08896507588563374,0.717710461191318,0.0,1.0,0.35,0.1111111111111111,0.6666666666666666
