station,split,score
201,0,3.671641791044776
201,1,3.4776119402985075
201,2,2.611940298507463
201,3,2.4402985074626864
201,4,5.029850746268656
201,5,2.582089552238806
201,6,2.3134328358208953
201,7,2.8805970149253732
201,8,4.604477611940299
201,9,3.4925373134328357
202,0,2.6641791044776117
202,1,3.014925373134328
202,2,3.0970149253731343
202,3,1.6119402985074627
202,4,2.2388059701492535
202,5,3.462686567164179
202,6,3.126865671641791
202,7,2.0597014925373136
202,8,2.58955223880597
202,9,2.253731343283582
203,0,4.097014925373134
203,1,2.9776119402985075
203,2,4.029850746268656
203,3,1.8656716417910448
203,4,3.5074626865671643
203,5,2.8656716417910446
203,6,2.8955223880597023
203,7,3.2313432835820897
203,8,2.3582089552238807
203,9,3.791044776119403
204,0,6.582089552238806
204,1,5.656716417910448
204,2,4.1940298507462686
204,3,3.4029850746268657
204,4,4.746268656716418
204,5,4.582089552238806
204,6,3.171641791044776
204,7,3.1417910447761193
204,8,3.246268656716418
204,9,2.7238805970149254
205,0,2.716417910447761
205,1,2.791044776119403
205,2,1.9477611940298507
205,3,3.3955223880597014
205,4,3.8059701492537314
205,5,3.9328358208955225
205,6,2.888059701492537
205,7,1.7835820895522387
205,8,2.246268656716418
205,9,3.798507462686567
206,0,4.7164179104477615
206,1,3.955223880597015
206,2,3.5597014925373136
206,3,5.552238805970149
206,4,2.962686567164179
206,5,4.6940298507462686
206,6,2.4477611940298507
206,7,2.544776119402985
206,8,3.0970149253731343
206,9,2.888059701492537
207,0,3.2686567164179103
207,1,5.567164179104478
207,2,3.791044776119403
207,3,2.0522388059701493
207,4,3.0671641791044775
207,5,2.8208955223880596
207,6,3.4776119402985075
207,7,2.8208955223880596
207,8,3.417910447761194
207,9,1.955223880597015
208,0,4.544776119402985
208,1,5.246268656716418
208,2,5.7611940298507465
208,3,3.5074626865671643
208,4,5.462686567164179
208,5,7.119402985074627
208,6,3.2388059701492535
208,7,3.626865671641791
208,8,4.373134328358209
208,9,3.9402985074626864
209,0,3.0074626865671643
209,1,2.485074626865672
209,2,3.626865671641791
209,3,1.8955223880597014
209,4,3.4029850746268657
209,5,2.298507462686567
209,6,2.0597014925373136
209,7,2.828358208955224
209,8,2.1343283582089554
209,9,4.126865671641791
210,0,1.3880597014925373
210,1,1.835820895522388
210,2,1.955223880597015
210,3,1.1791044776119404
210,4,1.5149253731343284
210,5,2.0597014925373136
210,6,1.955223880597015
210,7,2.626865671641791
210,8,1.2238805970149254
210,9,2.4328358208955225
211,0,2.373134328358209
211,1,1.2686567164179106
211,2,1.5746268656716418
211,3,1.373134328358209
211,4,1.8955223880597014
211,5,2.1940298507462686
211,6,1.3507462686567164
211,7,1.492537313432836
211,8,1.5522388059701493
211,9,1.7462686567164178
212,0,5.111940298507463
